# Time-averaged data for fix 6
# TimeStep v_strain_y v_virial_stress_yy
35100 0.0002 -0.0271984
35200 0.0002 -0.0273415
35300 0.0002 -0.0274817
35400 0.0002 -0.0276256
35500 0.0002 -0.0277645
35600 0.0002 -0.0279057
35700 0.0002 -0.0280435
35800 0.0002 -0.0281824
35900 0.0002 -0.0283193
36000 0.0002 -0.0284509
36100 0.0002 -0.0285865
36200 0.0002 -0.0287225
36300 0.0002 -0.0288554
36400 0.0002 -0.0289857
36500 0.0002 -0.0291139
36600 0.0002 -0.0292415
36700 0.0002 -0.0293669
36800 0.0002 -0.0294903
36900 0.0002 -0.0296156
37000 0.0002 -0.0297379
37100 0.0002 -0.0298602
37200 0.0002 -0.0299825
37300 0.0002 -0.0301
37400 0.0002 -0.030218
37500 0.0002 -0.0303256
37600 0.0002 -0.0304385
37700 0.0002 -0.0305563
37800 0.0002 -0.0306716
37900 0.0002 -0.0307893
38000 0.0002 -0.0309021
38100 0.0002 -0.0310195
38200 0.0002 -0.0311342
38300 0.0002 -0.0312465
38400 0.0002 -0.0313586
38500 0.0002 -0.0314744
38600 0.0002 -0.0315879
38700 0.0002 -0.0316983
38800 0.0002 -0.031803
38900 0.0002 -0.031906
39000 0.0002 -0.0320073
39100 0.0002 -0.0321123
39200 0.0002 -0.0322199
39300 0.0002 -0.0323236
39400 0.0002 -0.032425
39500 0.0002 -0.0325274
39600 0.0002 -0.0326302
39700 0.0002 -0.03273
39800 0.0002 -0.032828
39900 0.0002 -0.0329226
40000 0.0002 -0.0330199
40100 0.0002 -0.0331205
40200 0.0002 -0.0332214
40300 0.0002 -0.033321
40400 0.0002 -0.0334148
40500 0.0002 -0.0335064
40600 0.0002 -0.0335996
40700 0.0002 -0.0336979
40800 0.0002 -0.0337949
40900 0.0002 -0.0338857
41000 0.0002 -0.0339801
41100 0.0002 -0.0340748
41200 0.0002 -0.0341657
41300 0.0002 -0.0342614
41400 0.0002 -0.0343547
41500 0.0002 -0.034443
41600 0.0002 -0.0345301
41700 0.0002 -0.0346185
41800 0.0002 -0.0347059
41900 0.0002 -0.0347938
42000 0.0002 -0.0348818
42100 0.0002 -0.0349671
42200 0.0002 -0.0350503
42300 0.0002 -0.0351369
42400 0.0002 -0.0352237
42500 0.0002 -0.0353074
42600 0.0002 -0.0353872
42700 0.0002 -0.0354698
42800 0.0002 -0.0355561
42900 0.0002 -0.0356426
43000 0.0002 -0.0357215
43100 0.0002 -0.0358045
43200 0.0002 -0.0358872
43300 0.0002 -0.03597
43400 0.0002 -0.0360542
43500 0.0002 -0.0361399
43600 0.0002 -0.0362233
43700 0.0002 -0.0363054
43800 0.0002 -0.0363883
43900 0.0002 -0.03647
44000 0.0002 -0.0365518
44100 0.0002 -0.0366358
44200 0.0002 -0.0367219
44300 0.0002 -0.0368053
44400 0.0002 -0.0368854
44500 0.0002 -0.036966
44600 0.0002 -0.0370498
44700 0.0002 -0.0371293
44800 0.0002 -0.0372072
44900 0.0002 -0.0372876
45000 0.0002 -0.0373663
45100 0.0002 -0.0374447
45200 0.0002 -0.0375246
45300 0.0002 -0.0376048
45400 0.0002 -0.037683
45500 0.0002 -0.0377554
45600 0.0002 -0.0378353
45700 0.0002 -0.0379152
45800 0.0002 -0.0379969
45900 0.0002 -0.0380796
46000 0.0002 -0.0381554
46100 0.0002 -0.0382336
46200 0.0002 -0.0383112
46300 0.0002 -0.0383903
46400 0.0002 -0.0384707
46500 0.0002 -0.0385559
46600 0.0002 -0.0386425
46700 0.0002 -0.0387238
46800 0.0002 -0.0388033
46900 0.0002 -0.0388825
47000 0.0002 -0.0389628
47100 0.0002 -0.0390486
47200 0.0002 -0.039132
47300 0.0002 -0.039215
47400 0.0002 -0.0393015
47500 0.0002 -0.0393888
47600 0.0002 -0.0394801
47700 0.0002 -0.0395691
47800 0.0002 -0.0396571
47900 0.0002 -0.0397418
48000 0.0002 -0.0398264
48100 0.0002 -0.0399139
48200 0.0002 -0.0400047
48300 0.0002 -0.0400949
48400 0.0002 -0.0401862
48500 0.0002 -0.0402767
48600 0.0002 -0.0403662
48700 0.0002 -0.040449
48800 0.0002 -0.0405311
48900 0.0002 -0.0405899
49000 0.0002 -0.0406036
49100 0.0002 -0.0405501
49200 0.0002 -0.0404269
49300 0.0002 -0.0402752
49400 0.0002 -0.0401607
49500 0.0002 -0.0401026
49600 0.0002 -0.0400431
49700 0.0002 -0.0399481
49800 0.0002 -0.0398632
49900 0.0002 -0.0398167
50000 0.0002 -0.0397493
50100 0.0002 -0.0396708
50200 0.0002 -0.0396253
50300 0.0002 -0.0395695
50400 0.0002 -0.0395106
50500 0.0002 -0.03947
50600 0.0002 -0.0394134
50700 0.0002 -0.0393699
50800 0.0002 -0.03933
50900 0.0002 -0.0392871
51000 0.0002 -0.0392597
51100 0.0002 -0.0392135
51200 0.0002 -0.0391873
51300 0.0002 -0.0391505
51400 0.0002 -0.0391266
51500 0.0002 -0.0390974
51600 0.0002 -0.0390761
51700 0.0002 -0.0390513
51800 0.0002 -0.0390353
51900 0.0002 -0.0390188
52000 0.0002 -0.0390026
52100 0.0002 -0.0389844
52200 0.0002 -0.038976
52300 0.0002 -0.038961
52400 0.0002 -0.0389545
52500 0.0002 -0.0389421
52600 0.0002 -0.0389276
52700 0.0002 -0.0389156
52800 0.0002 -0.0389055
52900 0.0002 -0.038896
53000 0.0002 -0.0388842
53100 0.0002 -0.0388768
53200 0.0002 -0.0388656
53300 0.0002 -0.0388612
53400 0.0002 -0.0388618
53500 0.0002 -0.0388582
53600 0.0002 -0.038854
53700 0.0002 -0.0388509
53800 0.0002 -0.0388453
53900 0.0002 -0.0388412
54000 0.0002 -0.0388439
